scheme	parameter	message_length	required_tokens
watermarking	delta=0.05	1	1973
watermarking	delta=0.05	2	11202
watermarking	delta=0.05	3	29712
watermarking	delta=0.05	4	58599
watermarking	delta=0.05	5	98632
watermarking	delta=0.05	6	150409
watermarking	delta=0.05	7	214415
watermarking	delta=0.05	8	291065
watermarking	delta=0.05	9	380717
watermarking	delta=0.05	10	483684
watermarking	delta=0.05	11	600252
watermarking	delta=0.05	12	730676
watermarking	delta=0.05	13	875189
watermarking	delta=0.05	14	1034008
watermarking	delta=0.05	15	1207331
watermarking	delta=0.05	16	1395346
watermarking	delta=0.05	17	1598225
watermarking	delta=0.05	18	1816133
watermarking	delta=0.05	19	2049225
watermarking	delta=0.05	20	2297645
watermarking	delta=0.05	21	2561533
watermarking	delta=0.05	22	2841021
watermarking	delta=0.05	23	3136234
watermarking	delta=0.05	24	3447293
watermarking	delta=0.05	25	3774314
watermarking	delta=0.05	26	4117406
watermarking	delta=0.05	27	4476677
watermarking	delta=0.05	28	4852227
watermarking	delta=0.05	29	5244157
watermarking	delta=0.05	30	5652562
watermarking	delta=0.05	31	6077532
watermarking	delta=0.05	32	6519158
watermarking	delta=0.05	33	6977526
watermarking	delta=0.05	34	7452719
watermarking	delta=0.05	35	7944817
watermarking	delta=0.05	36	8453901
watermarking	delta=0.05	37	8980047
watermarking	delta=0.05	38	9523329
watermarking	delta=0.05	39	10083819
watermarking	delta=0.05	40	10661589
watermarking	delta=0.05	41	11256707
watermarking	delta=0.05	42	11869240
watermarking	delta=0.05	43	12499254
watermarking	delta=0.05	44	13146814
watermarking	delta=0.05	45	13811981
watermarking	delta=0.05	46	14494817
watermarking	delta=0.05	47	15195382
watermarking	delta=0.05	48	15913734
watermarking	delta=0.05	49	16649931
watermarking	delta=0.05	50	17404029
watermarking	delta=0.1	1	506
watermarking	delta=0.1	2	2870
watermarking	delta=0.1	3	7613
watermarking	delta=0.1	4	15014
watermarking	delta=0.1	5	25271
watermarking	delta=0.1	6	38537
watermarking	delta=0.1	7	54936
watermarking	delta=0.1	8	74575
watermarking	delta=0.1	9	97544
watermarking	delta=0.1	10	123926
watermarking	delta=0.1	11	153792
watermarking	delta=0.1	12	187207
watermarking	delta=0.1	13	224233
watermarking	delta=0.1	14	264924
watermarking	delta=0.1	15	309332
watermarking	delta=0.1	16	357503
watermarking	delta=0.1	17	409483
watermarking	delta=0.1	18	465314
watermarking	delta=0.1	19	525034
watermarking	delta=0.1	20	588682
watermarking	delta=0.1	21	656293
watermarking	delta=0.1	22	727901
watermarking	delta=0.1	23	803538
watermarking	delta=0.1	24	883235
watermarking	delta=0.1	25	967021
watermarking	delta=0.1	26	1054925
